From,To,Keyword,ColumnFrom,ColumnTo,AdditionalKeyword,DestinationKeyword
customers,orders,BLAUS,CustomerID,CustomerID,forsterstr. 57;Mannheim,
customers,suppliers,Sales Representative,ContactTitle,ContactTitle,,
customers,suppliers,Germany,Country,Country,,
orders,employee-territories,9,EmployeeID,EmployeeID,,
orders,employee-territories,4,EmployeeID,EmployeeID,,
orders,employee-territories,3,EmployeeID,EmployeeID,,
orders,employee-territories,8,EmployeeID,EmployeeID,,
orders,employees,9,EmployeeID,EmployeeID,,
orders,employees,4,EmployeeID,EmployeeID,,
orders,employees,3,EmployeeID,EmployeeID,,
orders,employees,8,EmployeeID,EmployeeID,,
orders,order-details,10501,OrderID,OrderID,,
orders,order-details,10509,OrderID,OrderID,,
orders,order-details,10582,OrderID,OrderID,,
orders,order-details,10614,OrderID,OrderID,,
orders,order-details,10853,OrderID,OrderID,,
orders,shippers,3,ShipperID,ShipperID,,
orders,shippers,1,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
order-details,products,18,ProductID,ProductID,,
products,categories,8,CategoryID,CategoryID,,
order-details,products,11,ProductID,ProductID,,
order-details,products,21,ProductID,ProductID,,
order-details,products,39,ProductID,ProductID,,
products,categories,1,CategoryID,CategoryID,,
products,categories,3,CategoryID,CategoryID,,
products,categories,4,CategoryID,CategoryID,,
order-details,products,57,ProductID,ProductID,,
order-details,products,76,ProductID,ProductID,,
products,categories,5,CategoryID,CategoryID,,
order-details,products,28,ProductID,ProductID,,
products,categories,7,CategoryID,CategoryID,,
order-details,products,54,ProductID,ProductID,,meat pie

