From,To,ColumnFrom,ColumnTo
customers,suppliers,Germany,Country,Country,,
suppliers,products,13,SupplierID,SupplierID,,
products,order-details,25.89,UnitPrice,UnitPrice,,
products,order-details,30,ProductID,ProductID,,
products,categories,8,CategoryID,CategoryID,,
suppliers,products,12,SupplierID,SupplierID,,
products,order-details,33.25,UnitPrice,UnitPrice,,
products,order-details,64,ProductID,ProductID,,
products,order-details,123.79,UnitPrice,UnitPrice,,
products,order-details,29,ProductID,ProductID,,
products,order-details,28,ProductID,ProductID,,
products,categories,5,CategoryID,CategoryID,,
products,categories,6,CategoryID,CategoryID,,
products,categories,7,CategoryID,CategoryID,,
suppliers,products,11,SupplierID,SupplierID,,
products,order-details,27,ProductID,ProductID,,
products,order-details,31.23,UnitPrice,UnitPrice,,
products,order-details,26,ProductID,ProductID,,
products,categories,3,CategoryID,CategoryID,,
customers,suppliers,Sales Representative,ContactTitle,ContactTitle,,
suppliers,products,24,SupplierID,SupplierID,,
products,order-details,53,ProductID,ProductID,,
products,order-details,52,ProductID,ProductID,,
products,order-details,51,ProductID,ProductID,,
suppliers,products,17,SupplierID,SupplierID,,
products,order-details,37,ProductID,ProductID,,
products,order-details,36,ProductID,ProductID,,
suppliers,products,14,SupplierID,SupplierID,,
products,order-details,32,ProductID,ProductID,,
products,order-details,31,ProductID,ProductID,,
products,categories,4,CategoryID,CategoryID,,
suppliers,products,8,SupplierID,SupplierID,,
products,order-details,19,ProductID,ProductID,,
suppliers,products,3,SupplierID,SupplierID,,
products,order-details,7,ProductID,ProductID,,
products,categories,2,CategoryID,CategoryID,,
suppliers,employees,UK,Country,Country,,
employees,employee-territories,9,EmployeeID,EmployeeID,,
employee-territories,territories,48304,TerritoryID,TerritoryID,,
territories,regions,3,RegionID,RegionID,,
employee-territories,territories,48084,TerritoryID,TerritoryID,,
employee-territories,territories,48075,TerritoryID,TerritoryID,,
employee-territories,territories,03801,TerritoryID,TerritoryID,,
employee-territories,territories,03049,TerritoryID,TerritoryID,,
employees,employee-territories,7,EmployeeID,EmployeeID,,
employee-territories,territories,90405,TerritoryID,TerritoryID,,
territories,regions,2,RegionID,RegionID,,
employee-territories,territories,80909,TerritoryID,TerritoryID,,
employee-territories,territories,80202,TerritoryID,TerritoryID,,
employee-territories,territories,60601,TerritoryID,TerritoryID,,
employee-territories,territories,60179,TerritoryID,TerritoryID,,
employees,employee-territories,6,EmployeeID,EmployeeID,,
employee-territories,territories,98104,TerritoryID,TerritoryID,,
employee-territories,territories,98052,TerritoryID,TerritoryID,,
employee-territories,territories,98004,TerritoryID,TerritoryID,,
employee-territories,territories,85251,TerritoryID,TerritoryID,,
employee-territories,territories,85014,TerritoryID,TerritoryID,,
employees,employee-territories,5,EmployeeID,EmployeeID,,
employee-territories,territories,10038,TerritoryID,TerritoryID,,
territories,regions,1,RegionID,RegionID,,
employee-territories,territories,10019,TerritoryID,TerritoryID,,
employee-territories,territories,08837,TerritoryID,TerritoryID,,
employee-territories,territories,07960,TerritoryID,TerritoryID,,
employee-territories,territories,02903,TerritoryID,TerritoryID,,
suppliers,employees,USA,Country,Country,,
employees,employee-territories,8,EmployeeID,EmployeeID,,
employee-territories,territories,53404,TerritoryID,TerritoryID,,
employee-territories,territories,45839,TerritoryID,TerritoryID,,
employee-territories,territories,44122,TerritoryID,TerritoryID,,
employee-territories,territories,19428,TerritoryID,TerritoryID,,
employees,employee-territories,4,EmployeeID,EmployeeID,,
employee-territories,territories,27511,TerritoryID,TerritoryID,,
employee-territories,territories,27403,TerritoryID,TerritoryID,,
employee-territories,territories,20852,TerritoryID,TerritoryID,,
employees,employee-territories,3,EmployeeID,EmployeeID,,
employee-territories,territories,33607,TerritoryID,TerritoryID,,
territories,regions,4,RegionID,RegionID,,
employee-territories,territories,32859,TerritoryID,TerritoryID,,
employee-territories,territories,31406,TerritoryID,TerritoryID,,
employee-territories,territories,30346,TerritoryID,TerritoryID,,
employees,employee-territories,1,EmployeeID,EmployeeID,,
employee-territories,territories,19713,TerritoryID,TerritoryID,,
employee-territories,territories,06897,TerritoryID,TerritoryID,,
customers,orders,BLAUS,CustomerID,CustomerID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,1,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,

