From,To,Keyword,ColumnFrom,ColumnTo,AdditionalKeyword,DestinationKeyword
products,categories,6,CategoryID,CategoryID,,
products,order-details,54,ProductID,ProductID,,
products,order-details,7.45,UnitPrice,UnitPrice,,
products,suppliers,25,SupplierID,SupplierID,,
suppliers,customers,Marketing Manager,ContactTitle,ContactTitle,,
suppliers,customers,Montréal,City,City,,
suppliers,customers,Québec,Region,Region,,
suppliers,customers,H1J 1C3,PostalCode,PostalCode,,
suppliers,customers,Canada,Country,Country,,
customers,orders,BOTTM,CustomerID,CustomerID,,
customers,orders,LAUGB,CustomerID,CustomerID,,
customers,orders,MEREP,CustomerID,CustomerID,,
orders,employee-territories,3,EmployeeID,EmployeeID,,
orders,employee-territories,2,EmployeeID,EmployeeID,,
orders,employee-territories,1,EmployeeID,EmployeeID,,
orders,employee-territories,7,EmployeeID,EmployeeID,,
orders,employee-territories,6,EmployeeID,EmployeeID,,
orders,employees,3,EmployeeID,EmployeeID,,
orders,employees,2,EmployeeID,EmployeeID,,
orders,employees,1,EmployeeID,EmployeeID,,
orders,employees,7,EmployeeID,EmployeeID,,
orders,employees,6,EmployeeID,EmployeeID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,
employee-territories,territories,85014,TerritoryID,TerritoryID,,
employee-territories,territories,85251,TerritoryID,TerritoryID,,
employee-territories,territories,98004,TerritoryID,TerritoryID,,
employee-territories,territories,98052,TerritoryID,TerritoryID,,
employee-territories,territories,98104,TerritoryID,TerritoryID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
employee-territories,territories,60179,TerritoryID,TerritoryID,,
employee-territories,territories,60601,TerritoryID,TerritoryID,,
employee-territories,territories,80202,TerritoryID,TerritoryID,,
employee-territories,territories,80909,TerritoryID,TerritoryID,,
employee-territories,territories,90405,TerritoryID,TerritoryID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
employee-territories,territories,06897,TerritoryID,TerritoryID,,
employee-territories,territories,19713,TerritoryID,TerritoryID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
employee-territories,territories,01581,TerritoryID,TerritoryID,,
employee-territories,territories,01730,TerritoryID,TerritoryID,,
employee-territories,territories,01833,TerritoryID,TerritoryID,,
employee-territories,territories,02116,TerritoryID,TerritoryID,,
employee-territories,territories,02139,TerritoryID,TerritoryID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
employee-territories,territories,30346,TerritoryID,TerritoryID,,
employee-territories,territories,31406,TerritoryID,TerritoryID,,
employee-territories,territories,32859,TerritoryID,TerritoryID,,
employee-territories,territories,33607,TerritoryID,TerritoryID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
orders,employee-territories,3,EmployeeID,EmployeeID,,
orders,employee-territories,2,EmployeeID,EmployeeID,,
orders,employee-territories,2,EmployeeID,EmployeeID,,
orders,employees,3,EmployeeID,EmployeeID,,
orders,employees,2,EmployeeID,EmployeeID,,
orders,employees,2,EmployeeID,EmployeeID,,
orders,shippers,3,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,
employee-territories,territories,01581,TerritoryID,TerritoryID,,
employee-territories,territories,01730,TerritoryID,TerritoryID,,
employee-territories,territories,01833,TerritoryID,TerritoryID,,
employee-territories,territories,02116,TerritoryID,TerritoryID,,
employee-territories,territories,02139,TerritoryID,TerritoryID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
employee-territories,territories,30346,TerritoryID,TerritoryID,,
employee-territories,territories,31406,TerritoryID,TerritoryID,,
employee-territories,territories,32859,TerritoryID,TerritoryID,,
employee-territories,territories,33607,TerritoryID,TerritoryID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
orders,employee-territories,4,EmployeeID,EmployeeID,,
orders,employee-territories,3,EmployeeID,EmployeeID,,
orders,employee-territories,9,EmployeeID,EmployeeID,,
orders,employee-territories,4,EmployeeID,EmployeeID,,
orders,employee-territories,3,EmployeeID,EmployeeID,,
orders,employees,4,EmployeeID,EmployeeID,,
orders,employees,3,EmployeeID,EmployeeID,,
orders,employees,9,EmployeeID,EmployeeID,,
orders,employees,4,EmployeeID,EmployeeID,,
orders,employees,3,EmployeeID,EmployeeID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,1,ShipperID,ShipperID,,
employee-territories,territories,03049,TerritoryID,TerritoryID,,
employee-territories,territories,03801,TerritoryID,TerritoryID,,
employee-territories,territories,48075,TerritoryID,TerritoryID,,
employee-territories,territories,48084,TerritoryID,TerritoryID,,
employee-territories,territories,48304,TerritoryID,TerritoryID,,
territories,regions,3,RegionID,RegionID,,
territories,regions,3,RegionID,RegionID,,
territories,regions,3,RegionID,RegionID,,
territories,regions,3,RegionID,RegionID,,
territories,regions,3,RegionID,RegionID,,
employee-territories,territories,30346,TerritoryID,TerritoryID,,
employee-territories,territories,31406,TerritoryID,TerritoryID,,
employee-territories,territories,32859,TerritoryID,TerritoryID,,
employee-territories,territories,33607,TerritoryID,TerritoryID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
territories,regions,4,RegionID,RegionID,,
employee-territories,territories,20852,TerritoryID,TerritoryID,,
employee-territories,territories,27403,TerritoryID,TerritoryID,,
employee-territories,territories,27511,TerritoryID,TerritoryID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
territories,regions,1,RegionID,RegionID,,
customers,orders,MEREP,CustomerID,CustomerID,,
orders,employee-territories,3,EmployeeID,EmployeeID,,
orders,employee-territories,2,EmployeeID,EmployeeID,,
orders,employee-territories,1,EmployeeID,EmployeeID,,
orders,employee-territories,7,EmployeeID,EmployeeID,,
orders,employee-territories,6,EmployeeID,EmployeeID,,
orders,employees,3,EmployeeID,EmployeeID,,
orders,employees,2,EmployeeID,EmployeeID,,
orders,employees,1,EmployeeID,EmployeeID,,
orders,employees,7,EmployeeID,EmployeeID,,
orders,employees,6,EmployeeID,EmployeeID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,2,ShipperID,ShipperID,,
orders,shippers,3,ShipperID,ShipperID,,
employee-territories,territories,85014,TerritoryID,TerritoryID,,
employee-territories,territories,85251,TerritoryID,TerritoryID,,
employee-territories,territories,98004,TerritoryID,TerritoryID,,
employee-territories,territories,98052,TerritoryID,TerritoryID,,
employee-territories,territories,98104,TerritoryID,TerritoryID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
territories,regions,2,RegionID,RegionID,,
employee-territories,territories,60179,TerritoryID,TerritoryID,,
employee-territories,territories,60601,TerritoryID,TerritoryID,,
employee-territories,territories,80202,TerritoryID,TerritoryID,,
