From,To,Keyword,ColumnFrom,ColumnTo
customers,suppliers,Sales Representative,ContactTitle,ContactTitle
customers,suppliers,Germany,Country,Country
customers,orders,BLAUS,CustomerID,CustomerID
orders,employee-territories,9,EmployeeID,EmployeeID
orders,employee-territories,4,EmployeeID,EmployeeID
orders,employee-territories,3,EmployeeID,EmployeeID
orders,employee-territories,8,EmployeeID,EmployeeID
orders,employee-territories,9,EmployeeID,EmployeeID
orders,employees,9,EmployeeID,EmployeeID
orders,employees,4,EmployeeID,EmployeeID
orders,employees,3,EmployeeID,EmployeeID
orders,employees,9,EmployeeID,EmployeeID
orders,order-details,10501,OrderID,OrderID
orders,order-details,10509,OrderID,OrderID
orders,order-details,10582,OrderID,OrderID
orders,order-details,10614,OrderID,OrderID
orders,order-details,10853,OrderID,OrderID
orders,shippers,3,ShipperID,ShipperID
orders,shippers,1,ShipperID,ShipperID
orders,shippers,2,ShipperID,ShipperID
orders,shippers,3,ShipperID,ShipperID
orders,shippers,2,ShipperID,ShipperID
orders,employees,8,EmployeeID,EmployeeID

